id,strategy,date,total,passed,profitRate,year,month
87,PriceRate,2007/1/24 0:00,4,4,0.31,2007,1
88,PriceRate,2007/2/23 0:00,4,4,0.68,2007,2
89,PriceRate,2007/3/25 0:00,2,1,0.17,2007,3
90,PriceRate,2007/4/24 0:00,3,2,0.16,2007,4
91,PriceRate,2007/5/24 0:00,0,0,0,2007,5
92,PriceRate,2007/6/23 0:00,2,1,-0.01,2007,6
93,PriceRate,2007/7/23 0:00,2,1,0.2,2007,7
94,PriceRate,2007/8/22 0:00,0,0,0,2007,8
95,PriceRate,2007/9/21 0:00,0,0,0,2007,9
96,PriceRate,2007/10/21 0:00,1,0,-0.02,2007,10
97,PriceRate,2007/11/20 0:00,1,1,1.3,2007,11
98,PriceRate,2007/12/20 0:00,0,0,0,2007,12
99,PriceRate,2008/1/19 0:00,0,0,0,2008,1
100,PriceRate,2008/2/18 0:00,0,0,0,2008,2
101,PriceRate,2008/3/19 0:00,3,1,-0.06,2008,3
102,PriceRate,2008/4/18 0:00,10,9,0.2,2008,4
103,PriceRate,2008/5/18 0:00,10,0,-0.27,2008,5
104,PriceRate,2008/6/17 0:00,10,4,-0.03,2008,6
105,PriceRate,2008/7/17 0:00,10,1,-0.11,2008,7
106,PriceRate,2008/8/16 0:00,10,1,-0.08,2008,8
107,PriceRate,2008/9/15 0:00,10,1,-0.12,2008,9
108,PriceRate,2008/10/15 0:00,10,10,0.14,2008,10
109,PriceRate,2008/11/14 0:00,10,10,0.15,2008,11
110,PriceRate,2008/12/14 0:00,10,5,0.07,2008,12
111,PriceRate,2009/1/13 0:00,10,10,0.41,2009,1
112,PriceRate,2009/2/12 0:00,10,3,-0.06,2009,2
113,PriceRate,2009/3/14 0:00,10,10,0.27,2009,3
114,PriceRate,2009/4/13 0:00,9,6,0.08,2009,4
115,PriceRate,2009/5/13 0:00,9,6,0.11,2009,5
116,PriceRate,2009/6/12 0:00,9,9,0.2,2009,6
117,PriceRate,2009/7/12 0:00,2,2,0.11,2009,7
118,PriceRate,2009/8/11 0:00,0,0,0,2009,8
119,PriceRate,2009/9/10 0:00,2,2,0.05,2009,9
120,PriceRate,2009/10/10 0:00,1,1,0.22,2009,10
121,PriceRate,2009/11/9 0:00,0,0,0,2009,11
122,PriceRate,2009/12/9 0:00,0,0,0,2009,12
123,PriceRate,2010/1/8 0:00,0,0,0,2010,1
124,PriceRate,2010/2/7 0:00,0,0,0,2010,2
125,PriceRate,2010/3/9 0:00,0,0,0,2010,3
126,PriceRate,2010/4/8 0:00,0,0,0,2010,4
127,PriceRate,2010/5/8 0:00,9,3,0.01,2010,5
128,PriceRate,2010/6/7 0:00,9,5,0.03,2010,6
129,PriceRate,2010/7/7 0:00,9,9,0.23,2010,7
130,PriceRate,2010/8/6 0:00,7,4,0.01,2010,8
131,PriceRate,2010/9/5 0:00,7,0,-0.06,2010,9
132,PriceRate,2010/10/5 0:00,8,8,0.13,2010,10
133,PriceRate,2010/11/4 0:00,3,0,-0.08,2010,11
134,PriceRate,2010/12/4 0:00,7,0,-0.05,2010,12
135,PriceRate,2011/1/3 0:00,9,3,0,2011,1
136,PriceRate,2011/2/2 0:00,9,9,0.07,2011,2
137,PriceRate,2011/3/4 0:00,6,5,0.03,2011,3
138,PriceRate,2011/4/3 0:00,5,3,0.02,2011,4
139,PriceRate,2011/5/3 0:00,10,3,-0.08,2011,5
140,PriceRate,2011/6/2 0:00,10,8,0.08,2011,6
141,PriceRate,2011/7/2 0:00,10,7,0.03,2011,7
142,PriceRate,2011/8/1 0:00,10,2,-0.05,2011,8
143,PriceRate,2011/8/31 0:00,10,0,-0.12,2011,8
144,PriceRate,2011/9/30 0:00,10,8,0.07,2011,9
145,PriceRate,2011/10/30 0:00,10,4,-0.02,2011,10
146,PriceRate,2011/11/29 0:00,10,0,-0.23,2011,11
147,PriceRate,2011/12/29 0:00,10,7,0.04,2011,12
148,PriceRate,2012/1/28 0:00,10,10,0.21,2012,1
149,PriceRate,2012/2/27 0:00,10,2,-0.07,2012,2
150,PriceRate,2012/3/28 0:00,10,4,0.01,2012,3
151,PriceRate,2012/4/27 0:00,10,3,-0.01,2012,4
152,PriceRate,2012/5/27 0:00,10,4,0.02,2012,5
153,PriceRate,2012/6/26 0:00,10,0,-0.15,2012,6
154,PriceRate,2012/7/26 0:00,10,6,0.04,2012,7
155,PriceRate,2012/8/25 0:00,10,1,-0.02,2012,8
156,PriceRate,2012/9/24 0:00,10,5,0.08,2012,9
157,PriceRate,2012/10/24 0:00,10,0,-0.11,2012,10
158,PriceRate,2012/11/23 0:00,10,4,0,2012,11
159,PriceRate,2012/12/23 0:00,10,10,0.14,2012,12
160,PriceRate,2013/1/22 0:00,10,5,0.01,2013,1
161,PriceRate,2013/2/21 0:00,10,5,0,2013,2
162,PriceRate,2013/3/23 0:00,10,0,-0.09,2013,3
163,PriceRate,2013/4/22 0:00,10,8,0.07,2013,4
164,PriceRate,2013/5/22 0:00,10,0,-0.14,2013,5
165,PriceRate,2013/6/21 0:00,10,1,-0.09,2013,6
166,PriceRate,2013/7/21 0:00,10,10,0.09,2013,7
167,PriceRate,2013/8/20 0:00,9,9,0.06,2013,8
168,PriceRate,2013/9/19 0:00,9,3,0,2013,9
169,PriceRate,2013/10/19 0:00,10,4,0.01,2013,10
170,PriceRate,2013/11/18 0:00,10,7,0.03,2013,11
171,PriceRate,2013/12/18 0:00,9,0,-0.12,2013,12
172,PriceRate,2014/1/17 0:00,10,10,0.1,2014,1
173,PriceRate,2014/2/16 0:00,10,3,-0.05,2014,2
174,PriceRate,2014/3/18 0:00,10,5,0,2014,3
175,PriceRate,2014/4/17 0:00,10,3,-0.03,2014,4
176,PriceRate,2014/5/17 0:00,9,7,0.06,2014,5
177,PriceRate,2014/6/16 0:00,9,4,0.01,2014,6
178,PriceRate,2014/7/16 0:00,9,9,0.14,2014,7
179,PriceRate,2014/8/15 0:00,8,8,0.12,2014,8
180,PriceRate,2014/9/14 0:00,8,6,0.05,2014,9
181,PriceRate,2014/10/14 0:00,8,4,0.01,2014,10
182,PriceRate,2014/11/13 0:00,8,8,0.14,2014,11
183,PriceRate,2014/12/13 0:00,8,4,-0.02,2014,12
184,PriceRate,2015/1/12 0:00,8,6,0.07,2015,1
185,PriceRate,2015/2/11 0:00,8,8,0.17,2015,2
186,PriceRate,2015/3/13 0:00,7,7,0.16,2015,3
187,PriceRate,2015/4/12 0:00,4,1,0.16,2015,4
188,PriceRate,2015/5/12 0:00,4,4,0.3,2015,5
189,PriceRate,2015/6/11 0:00,1,0,-0.39,2015,6
190,PriceRate,2015/7/11 0:00,10,10,0.43,2015,7
191,PriceRate,2015/8/10 0:00,9,1,-0.18,2015,8
192,PriceRate,2015/9/9 0:00,10,7,0.05,2015,9
193,PriceRate,2015/10/9 0:00,10,10,0.33,2015,10
194,PriceRate,2015/11/8 0:00,9,6,0.19,2015,11
195,PriceRate,2015/12/8 0:00,9,2,-0.09,2015,12
196,PriceRate,2016/1/7 0:00,9,0,-0.14,2016,1
197,PriceRate,2016/2/6 0:00,10,5,0.02,2016,2
198,PriceRate,2016/3/7 0:00,9,8,0.15,2016,3
199,PriceRate,2016/4/6 0:00,9,1,-0.03,2016,4
200,PriceRate,2016/5/6 0:00,9,4,0.01,2016,5
201,PriceRate,2016/6/5 0:00,10,8,0.08,2016,6
202,PriceRate,2016/7/5 0:00,10,2,0,2016,7
203,PriceRate,2016/8/4 0:00,10,5,0.01,2016,8
204,PriceRate,2016/9/3 0:00,10,3,-0.02,2016,9
205,PriceRate,2016/10/3 0:00,10,7,0.08,2016,10
206,PriceRate,2016/11/2 0:00,10,5,0,2016,11
207,PriceRate,2016/12/2 0:00,10,2,-0.06,2016,12
208,PriceRate,2017/1/1 0:00,10,0,-0.06,2017,1
209,PriceRate,2017/1/31 0:00,10,10,0.06,2017,1
210,PriceRate,2017/3/2 0:00,10,3,0,2017,3
211,PriceRate,2017/4/1 0:00,10,0,-0.1,2017,4
212,PriceRate,2017/5/1 0:00,10,1,-0.1,2017,5
213,PriceRate,2017/5/31 0:00,10,5,0.02,2017,5
